,building,date,associated,authenticated,room,epochtime
0,school of Computer Science,Mon Nov 02 20:32:06 GMT+00:00 2015,0,0,2,1446496326
1,school of Computer Science,Mon Nov 02 20:37:10 GMT+00:00 2015,0,0,2,1446496630
2,school of Computer Science,Mon Nov 02 20:42:12 GMT+00:00 2015,0,0,2,1446496932
3,school of Computer Science,Mon Nov 02 20:47:14 GMT+00:00 2015,0,0,2,1446497234
4,school of Computer Science,Mon Nov 02 20:52:11 GMT+00:00 2015,0,0,2,1446497531
5,school of Computer Science,Mon Nov 02 20:57:11 GMT+00:00 2015,0,0,2,1446497831
6,school of Computer Science,Mon Nov 02 21:00:31 GMT+00:00 2015,0,0,2,1446498031
7,school of Computer Science,Mon Nov 02 21:07:19 GMT+00:00 2015,0,0,2,1446498439
8,school of Computer Science,Mon Nov 02 21:12:20 GMT+00:00 2015,0,0,2,1446498740
9,school of Computer Science,Mon Nov 02 21:17:20 GMT+00:00 2015,0,0,2,1446499040
10,school of Computer Science,Mon Nov 02 21:22:21 GMT+00:00 2015,0,0,2,1446499341
11,school of Computer Science,Mon Nov 02 21:27:21 GMT+00:00 2015,0,0,2,1446499641
12,school of Computer Science,Mon Nov 02 21:32:22 GMT+00:00 2015,0,0,2,1446499942
13,school of Computer Science,Mon Nov 02 21:37:21 GMT+00:00 2015,0,0,2,1446500241
14,school of Computer Science,Mon Nov 02 21:42:28 GMT+00:00 2015,0,0,2,1446500548
15,school of Computer Science,Mon Nov 02 21:47:29 GMT+00:00 2015,0,0,2,1446500849
16,school of Computer Science,Mon Nov 02 21:52:26 GMT+00:00 2015,0,0,2,1446501146
17,school of Computer Science,Mon Nov 02 21:57:27 GMT+00:00 2015,0,0,2,1446501447
18,school of Computer Science,Mon Nov 02 22:00:47 GMT+00:00 2015,0,0,2,1446501647
19,school of Computer Science,Mon Nov 02 22:06:26 GMT+00:00 2015,0,0,2,1446501986
20,school of Computer Science,Mon Nov 02 22:09:42 GMT+00:00 2015,0,0,2,1446502182
21,school of Computer Science,Mon Nov 02 22:13:04 GMT+00:00 2015,0,0,2,1446502384
22,school of Computer Science,Mon Nov 02 22:16:04 GMT+00:00 2015,0,0,2,1446502564
23,school of Computer Science,Mon Nov 02 22:20:46 GMT+00:00 2015,0,0,2,1446502846
24,school of Computer Science,Mon Nov 02 22:23:48 GMT+00:00 2015,0,0,2,1446503028
25,school of Computer Science,Mon Nov 02 22:27:42 GMT+00:00 2015,0,0,2,1446503262
26,school of Computer Science,Mon Nov 02 22:30:47 GMT+00:00 2015,0,0,2,1446503447
27,school of Computer Science,Mon Nov 02 22:33:50 GMT+00:00 2015,0,0,2,1446503630
28,school of Computer Science,Mon Nov 02 22:36:51 GMT+00:00 2015,0,0,2,1446503811
29,school of Computer Science,Mon Nov 02 22:40:14 GMT+00:00 2015,0,0,2,1446504014
30,school of Computer Science,Mon Nov 02 22:43:15 GMT+00:00 2015,0,0,2,1446504195
31,school of Computer Science,Mon Nov 02 22:46:24 GMT+00:00 2015,0,0,2,1446504384
32,school of Computer Science,Mon Nov 02 22:49:26 GMT+00:00 2015,0,0,2,1446504566
33,school of Computer Science,Mon Nov 02 22:52:52 GMT+00:00 2015,0,0,2,1446504772
34,school of Computer Science,Mon Nov 02 22:57:50 GMT+00:00 2015,0,0,2,1446505070
35,school of Computer Science,Mon Nov 02 23:02:53 GMT+00:00 2015,0,0,2,1446505373
36,school of Computer Science,Mon Nov 02 23:07:54 GMT+00:00 2015,0,0,2,1446505674
37,school of Computer Science,Mon Nov 02 23:12:55 GMT+00:00 2015,0,0,2,1446505975
38,school of Computer Science,Mon Nov 02 23:17:54 GMT+00:00 2015,0,0,2,1446506274
39,school of Computer Science,Mon Nov 02 23:22:57 GMT+00:00 2015,0,0,2,1446506577
40,school of Computer Science,Mon Nov 02 23:27:57 GMT+00:00 2015,0,0,2,1446506877
41,school of Computer Science,Mon Nov 02 23:33:04 GMT+00:00 2015,0,0,2,1446507184
42,school of Computer Science,Mon Nov 02 23:38:12 GMT+00:00 2015,0,0,2,1446507492
43,school of Computer Science,Mon Nov 02 23:43:02 GMT+00:00 2015,0,0,2,1446507782
44,school of Computer Science,Mon Nov 02 23:48:04 GMT+00:00 2015,0,0,2,1446508084
45,school of Computer Science,Mon Nov 02 23:53:06 GMT+00:00 2015,0,0,2,1446508386
46,school of Computer Science,Mon Nov 02 23:58:05 GMT+00:00 2015,0,0,2,1446508685
47,school of Computer Science,Tue Nov 03 00:03:14 GMT+00:00 2015,0,0,2,1446508994
48,school of Computer Science,Tue Nov 03 00:08:28 GMT+00:00 2015,0,0,2,1446509308
49,school of Computer Science,Tue Nov 03 00:13:19 GMT+00:00 2015,0,0,2,1446509599
50,school of Computer Science,Tue Nov 03 00:18:22 GMT+00:00 2015,0,0,2,1446509902
51,school of Computer Science,Tue Nov 03 00:24:42 GMT+00:00 2015,0,0,2,1446510282
52,school of Computer Science,Tue Nov 03 00:28:31 GMT+00:00 2015,0,0,2,1446510511
53,school of Computer Science,Tue Nov 03 00:33:26 GMT+00:00 2015,0,0,2,1446510806
54,school of Computer Science,Tue Nov 03 00:38:25 GMT+00:00 2015,0,0,2,1446511105
55,school of Computer Science,Tue Nov 03 00:43:30 GMT+00:00 2015,0,0,2,1446511410
56,school of Computer Science,Tue Nov 03 00:48:31 GMT+00:00 2015,0,0,2,1446511711
57,school of Computer Science,Tue Nov 03 00:53:32 GMT+00:00 2015,0,0,2,1446512012
58,school of Computer Science,Tue Nov 03 00:58:36 GMT+00:00 2015,0,0,2,1446512316
59,school of Computer Science,Tue Nov 03 01:03:36 GMT+00:00 2015,0,0,2,1446512616
60,school of Computer Science,Tue Nov 03 01:08:33 GMT+00:00 2015,0,0,2,1446512913
61,school of Computer Science,Tue Nov 03 01:13:41 GMT+00:00 2015,0,0,2,1446513221
62,school of Computer Science,Tue Nov 03 01:18:35 GMT+00:00 2015,0,0,2,1446513515
63,school of Computer Science,Tue Nov 03 01:23:35 GMT+00:00 2015,0,0,2,1446513815
64,school of Computer Science,Tue Nov 03 01:28:36 GMT+00:00 2015,0,0,2,1446514116
65,school of Computer Science,Tue Nov 03 01:33:36 GMT+00:00 2015,0,0,2,1446514416
66,school of Computer Science,Tue Nov 03 01:38:36 GMT+00:00 2015,0,0,2,1446514716
67,school of Computer Science,Tue Nov 03 01:43:38 GMT+00:00 2015,0,0,2,1446515018
68,school of Computer Science,Tue Nov 03 01:48:38 GMT+00:00 2015,0,0,2,1446515318
69,school of Computer Science,Tue Nov 03 01:53:38 GMT+00:00 2015,0,0,2,1446515618
70,school of Computer Science,Tue Nov 03 01:58:40 GMT+00:00 2015,0,0,2,1446515920
71,school of Computer Science,Tue Nov 03 02:03:47 GMT+00:00 2015,0,0,2,1446516227
72,school of Computer Science,Tue Nov 03 02:08:47 GMT+00:00 2015,0,0,2,1446516527
73,school of Computer Science,Tue Nov 03 02:13:44 GMT+00:00 2015,0,0,2,1446516824
74,school of Computer Science,Tue Nov 03 02:18:45 GMT+00:00 2015,0,0,2,1446517125
75,school of Computer Science,Tue Nov 03 02:23:46 GMT+00:00 2015,0,0,2,1446517426
76,school of Computer Science,Tue Nov 03 02:28:48 GMT+00:00 2015,0,0,2,1446517728
77,school of Computer Science,Tue Nov 03 02:33:49 GMT+00:00 2015,0,0,2,1446518029
78,school of Computer Science,Tue Nov 03 02:38:52 GMT+00:00 2015,0,0,2,1446518332
79,school of Computer Science,Tue Nov 03 02:43:52 GMT+00:00 2015,0,0,2,1446518632
80,school of Computer Science,Tue Nov 03 02:48:54 GMT+00:00 2015,0,0,2,1446518934
81,school of Computer Science,Tue Nov 03 02:53:52 GMT+00:00 2015,0,0,2,1446519232
82,school of Computer Science,Tue Nov 03 02:58:53 GMT+00:00 2015,0,0,2,1446519533
83,school of Computer Science,Tue Nov 03 03:03:55 GMT+00:00 2015,0,0,2,1446519835
84,school of Computer Science,Tue Nov 03 03:08:57 GMT+00:00 2015,0,0,2,1446520137
85,school of Computer Science,Tue Nov 03 03:12:10 GMT+00:00 2015,0,0,2,1446520330
86,school of Computer Science,Tue Nov 03 03:18:58 GMT+00:00 2015,0,0,2,1446520738
87,school of Computer Science,Tue Nov 03 03:23:57 GMT+00:00 2015,0,0,2,1446521037
88,school of Computer Science,Tue Nov 03 03:29:00 GMT+00:00 2015,0,0,2,1446521340
89,school of Computer Science,Tue Nov 03 03:34:03 GMT+00:00 2015,0,0,2,1446521643
90,school of Computer Science,Tue Nov 03 03:39:00 GMT+00:00 2015,0,0,2,1446521940
91,school of Computer Science,Tue Nov 03 03:44:03 GMT+00:00 2015,0,0,2,1446522243
92,school of Computer Science,Tue Nov 03 03:49:02 GMT+00:00 2015,0,0,2,1446522542
93,school of Computer Science,Tue Nov 03 03:54:04 GMT+00:00 2015,0,0,2,1446522844
94,school of Computer Science,Tue Nov 03 03:59:06 GMT+00:00 2015,0,0,2,1446523146
95,school of Computer Science,Tue Nov 03 04:04:08 GMT+00:00 2015,0,0,2,1446523448
96,school of Computer Science,Tue Nov 03 04:09:07 GMT+00:00 2015,0,0,2,1446523747
97,school of Computer Science,Tue Nov 03 04:14:07 GMT+00:00 2015,0,0,2,1446524047
98,school of Computer Science,Tue Nov 03 04:19:09 GMT+00:00 2015,0,0,2,1446524349
99,school of Computer Science,Tue Nov 03 04:24:09 GMT+00:00 2015,0,0,2,1446524649
100,school of Computer Science,Tue Nov 03 04:29:11 GMT+00:00 2015,0,0,2,1446524951
101,school of Computer Science,Tue Nov 03 04:34:13 GMT+00:00 2015,0,0,2,1446525253
102,school of Computer Science,Tue Nov 03 04:39:12 GMT+00:00 2015,0,0,2,1446525552
103,school of Computer Science,Tue Nov 03 04:44:13 GMT+00:00 2015,0,0,2,1446525853
104,school of Computer Science,Tue Nov 03 04:49:13 GMT+00:00 2015,0,0,2,1446526153
105,school of Computer Science,Tue Nov 03 04:54:15 GMT+00:00 2015,0,0,2,1446526455
106,school of Computer Science,Tue Nov 03 04:59:19 GMT+00:00 2015,0,0,2,1446526759
107,school of Computer Science,Tue Nov 03 05:04:20 GMT+00:00 2015,0,0,2,1446527060
108,school of Computer Science,Tue Nov 03 05:09:20 GMT+00:00 2015,0,0,2,1446527360
109,school of Computer Science,Tue Nov 03 05:14:20 GMT+00:00 2015,0,0,2,1446527660
110,school of Computer Science,Tue Nov 03 05:19:23 GMT+00:00 2015,0,0,2,1446527963
111,school of Computer Science,Tue Nov 03 05:24:24 GMT+00:00 2015,0,0,2,1446528264
112,school of Computer Science,Tue Nov 03 05:29:26 GMT+00:00 2015,0,0,2,1446528566
113,school of Computer Science,Tue Nov 03 05:34:26 GMT+00:00 2015,0,0,2,1446528866
114,school of Computer Science,Tue Nov 03 05:39:27 GMT+00:00 2015,0,0,2,1446529167
115,school of Computer Science,Tue Nov 03 05:44:28 GMT+00:00 2015,0,0,2,1446529468
116,school of Computer Science,Tue Nov 03 05:49:30 GMT+00:00 2015,0,0,2,1446529770
117,school of Computer Science,Tue Nov 03 05:54:36 GMT+00:00 2015,0,0,2,1446530076
118,school of Computer Science,Tue Nov 03 05:59:41 GMT+00:00 2015,0,0,2,1446530381
119,school of Computer Science,Tue Nov 03 06:04:43 GMT+00:00 2015,0,0,2,1446530683
120,school of Computer Science,Tue Nov 03 06:09:41 GMT+00:00 2015,0,0,2,1446530981
121,school of Computer Science,Tue Nov 03 06:14:40 GMT+00:00 2015,0,0,2,1446531280
122,school of Computer Science,Tue Nov 03 06:19:44 GMT+00:00 2015,0,0,2,1446531584
123,school of Computer Science,Tue Nov 03 06:24:45 GMT+00:00 2015,0,0,2,1446531885
124,school of Computer Science,Tue Nov 03 06:34:49 GMT+00:00 2015,0,0,2,1446532489
125,school of Computer Science,Tue Nov 03 06:39:49 GMT+00:00 2015,0,0,2,1446532789
126,school of Computer Science,Tue Nov 03 06:44:51 GMT+00:00 2015,0,0,2,1446533091
127,school of Computer Science,Tue Nov 03 06:49:53 GMT+00:00 2015,0,0,2,1446533393
128,school of Computer Science,Tue Nov 03 06:54:50 GMT+00:00 2015,0,0,2,1446533690
129,school of Computer Science,Tue Nov 03 06:59:56 GMT+00:00 2015,0,0,2,1446533996
130,school of Computer Science,Tue Nov 03 07:04:59 GMT+00:00 2015,0,0,2,1446534299
131,school of Computer Science,Tue Nov 03 07:10:01 GMT+00:00 2015,0,0,2,1446534601
132,school of Computer Science,Tue Nov 03 07:15:02 GMT+00:00 2015,0,0,2,1446534902
133,school of Computer Science,Tue Nov 03 07:20:05 GMT+00:00 2015,0,0,2,1446535205
134,school of Computer Science,Tue Nov 03 07:25:04 GMT+00:00 2015,0,0,2,1446535504
135,school of Computer Science,Tue Nov 03 07:30:10 GMT+00:00 2015,0,0,2,1446535810
136,school of Computer Science,Tue Nov 03 07:35:13 GMT+00:00 2015,0,0,2,1446536113
137,school of Computer Science,Tue Nov 03 07:40:14 GMT+00:00 2015,0,0,2,1446536414
138,school of Computer Science,Tue Nov 03 07:45:18 GMT+00:00 2015,0,0,2,1446536718
139,school of Computer Science,Tue Nov 03 07:50:24 GMT+00:00 2015,0,0,2,1446537024
140,school of Computer Science,Tue Nov 03 07:55:25 GMT+00:00 2015,0,0,2,1446537325
141,school of Computer Science,Tue Nov 03 08:00:32 GMT+00:00 2015,0,0,2,1446537632
142,school of Computer Science,Tue Nov 03 08:05:40 GMT+00:00 2015,0,0,2,1446537940
