,room,event_day,event_hour,detec1,detec2,occupancy,building,estim_nb_ocpnts
0,2,3,9,4.75,4.666666666666667,0.0,school of computer science,0.0
1,2,3,10,29.272727272727273,29.181818181818183,0.5,school of computer science,45.0
2,2,3,11,28.727272727272727,28.636363636363637,0.5,school of computer science,45.0
3,2,3,12,14.166666666666666,14.166666666666666,0.5,school of computer science,45.0
4,2,3,13,14.25,14.166666666666666,0.0,school of computer science,0.0
5,2,3,14,46.36363636363637,46.18181818181818,0.75,school of computer science,67.5
6,2,3,15,40.27272727272727,39.72727272727273,0.25,school of computer science,22.5
7,2,3,16,36.416666666666664,35.916666666666664,0.25,school of computer science,22.5
8,2,4,9,13.454545454545455,13.363636363636363,0.25,school of computer science,22.5
9,2,4,10,14.416666666666666,14.333333333333334,0.25,school of computer science,22.5
10,2,4,11,8.363636363636363,8.272727272727273,0.25,school of computer science,22.5
11,2,4,12,33.18181818181818,33.0,0.5,school of computer science,45.0
12,2,4,13,25.083333333333332,25.083333333333332,0.0,school of computer science,0.0
13,2,4,14,23.0,23.0,0.25,school of computer science,22.5
14,2,4,15,5.545454545454546,5.545454545454546,0.0,school of computer science,0.0
15,2,4,16,17.0,16.90909090909091,0.25,school of computer science,22.5
16,2,5,9,6.833333333333333,6.666666666666667,0.0,school of computer science,0.0
17,2,5,10,33.63636363636363,33.63636363636363,0.5,school of computer science,45.0
18,2,5,11,32.5,32.4,0.25,school of computer science,22.5
19,2,5,12,20.75,20.75,0.25,school of computer science,22.5
20,2,5,13,13.666666666666666,13.583333333333334,0.25,school of computer science,22.5
21,2,5,14,31.90909090909091,31.818181818181817,0.25,school of computer science,22.5
22,2,5,15,49.333333333333336,49.166666666666664,0.5,school of computer science,45.0
23,2,5,16,33.583333333333336,33.583333333333336,0.0,school of computer science,0.0
24,2,6,9,2.4166666666666665,2.4166666666666665,0.0,school of computer science,0.0
25,2,6,10,5.25,5.25,0.0,school of computer science,0.0
